player,team_country,minutes,goals,assists,gk_games,gk_minutes,gk_clean_sheets
Achref Abada,Algeria,,,,,,
Adil Boulbina,Algeria,19.0,0.0,0.0,,,
Amine Gouiri,Algeria,251.0,1.0,0.0,,,
Anis Hadj Moussa,Algeria,98.0,0.0,0.0,,,
Aïssa Mandi,Algeria,360.0,0.0,0.0,,,
Fares Chaïbi,Algeria,360.0,0.0,0.0,,,
Farés Ghedjemis,Algeria,1.0,0.0,0.0,,,
Hicham Boudaoui,Algeria,128.0,0.0,0.0,,,
Houssem Aouar,Algeria,173.0,0.0,2.0,,,
Ibrahim Maza,Algeria,351.0,0.0,0.0,,,
Jaouen Hadjam,Algeria,109.0,0.0,0.0,,,
Luca Zidane,Algeria,270.0,0.0,0.0,3.0,270.0,0.0
Melvin Mastil,Algeria,,,,,,
Mohamed Amine Tougai,Algeria,,,,,,
Mohamed Amoura,Algeria,27.0,0.0,0.0,,,
Nabil Bentaleb,Algeria,285.0,0.0,0.0,,,
Nadhir Benbouali,Algeria,45.0,1.0,0.0,,,
Oussama Benbot,Algeria,90.0,0.0,0.0,1.0,90.0,0.0
Rafik Belghali,Algeria,331.0,1.0,0.0,,,
Ramiz Zerrouki,Algeria,111.0,0.0,0.0,,,
Ramy Bensebaini,Algeria,360.0,0.0,0.0,,,
Rayan Aït-Nouri,Algeria,284.0,0.0,0.0,,,
Riyad Mahrez,Algeria,262.0,2.0,1.0,,,
Samir Chergui,Algeria,20.0,0.0,0.0,,,
Yassine Titraoui,Algeria,,,,,,
Zineddine Belaïd,Algeria,25.0,0.0,0.0,,,
Alexis Mac Allister,Argentina,540.0,1.0,1.0,,,
Cristian Romero,Argentina,449.0,1.0,0.0,,,
Emiliano Martínez,Argentina,600.0,0.0,0.0,6.0,600.0,2.0
Enzo Fernández,Argentina,480.0,1.0,0.0,,,
Exequiel Palacios,Argentina,90.0,0.0,0.0,,,
Facundo Medina,Argentina,257.0,0.0,1.0,,,
Flaco López,Argentina,20.0,0.0,1.0,,,
Gerónimo Rulli,Argentina,,,,,,
Giovani Lo Celso,Argentina,59.0,1.0,0.0,,,
Giuliano Simeone,Argentina,70.0,0.0,0.0,,,
Gonzalo Montiel,Argentina,116.0,0.0,1.0,,,
Juan Musso,Argentina,,,,,,
Julián Álvarez,Argentina,411.0,1.0,0.0,,,
Lautaro Martínez,Argentina,300.0,2.0,1.0,,,
Leandro Paredes,Argentina,335.0,0.0,0.0,,,
Lionel Messi,Argentina,530.0,8.0,2.0,,,
Lisandro Martínez,Argentina,510.0,1.0,1.0,,,
Marcos Senesi,Argentina,90.0,0.0,0.0,,,
Nahuel Molina,Argentina,394.0,0.0,0.0,,,
Nicolás González,Argentina,187.0,0.0,1.0,,,
Nicolás Otamendi,Argentina,151.0,0.0,0.0,,,
Nicolás Paz,Argentina,71.0,0.0,0.0,,,
Nicolás Tagliafico,Argentina,276.0,0.0,0.0,,,
Rodrigo De Paul,Argentina,403.0,0.0,1.0,,,
Thiago Almada,Argentina,241.0,0.0,0.0,,,
Valentín Barco,Argentina,20.0,0.0,0.0,,,
Aiden O'Neill,Australia,360.0,0.0,0.0,,,
Ajdin Hrustic,Australia,80.0,0.0,0.0,,,
Alessandro Circati,Australia,390.0,0.0,0.0,,,
Awer Mabil,Australia,30.0,0.0,0.0,,,
Aziz Behich,Australia,217.0,0.0,0.0,,,
Cameron Burgess,Australia,135.0,0.0,0.0,,,
Cammy Devlin,Australia,,,,,,
Connor Metcalfe,Australia,315.0,1.0,0.0,,,
Cristian Volpato,Australia,160.0,0.0,0.0,,,
Harry Souttar,Australia,390.0,0.0,0.0,,,
Jackson Irvine,Australia,223.0,0.0,0.0,,,
Jacob Italiano,Australia,163.0,0.0,0.0,,,
